,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
0,meanMLP,BSNIP X FBIRN,0.746730132450331,0.6655948553054662,0.1082909107208252,3.3509692961763336e-05,9282,None
1,meanMLP,BSNIP X FBIRN,0.7630794701986755,0.684887459807074,0.1086573600769043,3.444190193985819e-05,9282,None
2,meanMLP,BSNIP X FBIRN,0.7573261589403973,0.6752411575562701,0.10904741287231444,3.277680498227429e-05,9282,None
3,meanMLP,BSNIP X FBIRN,0.7334850993377483,0.6752411575562701,0.1057887077331543,3.523535283815439e-05,9282,None
4,meanMLP,BSNIP X FBIRN,0.7407698675496689,0.6816720257234726,0.11122679710388184,3.5530501239936066e-05,9282,None
5,meanMLP,BSNIP X FBIRN,0.7702814569536424,0.6977491961414791,0.09542369842529295,3.431157667153901e-05,9282,None
6,meanMLP,BSNIP X FBIRN,0.7436672185430464,0.6784565916398714,0.10792279243469238,3.442273645922302e-05,9282,None
7,meanMLP,BSNIP X FBIRN,0.7271109271523178,0.6463022508038585,0.1077573299407959,3.242569337703791e-05,9282,None
8,meanMLP,BSNIP X FBIRN,0.748385761589404,0.6816720257234726,0.11061978340148926,3.30420552342651e-05,9282,None
9,meanMLP,BSNIP X FBIRN,0.7954470198675497,0.7202572347266881,0.11596989631652832,3.4424269697673836e-05,9282,None
10,meanMLP,BSNIP X FBIRN,0.75,0.6752411575562701,0.10083603858947754,3.47953134027708e-05,9282,None
11,meanMLP,BSNIP X FBIRN,0.7597682119205298,0.6559485530546624,0.11014318466186523,3.3686782002832344e-05,9282,None
12,meanMLP,BSNIP X FBIRN,0.7790562913907285,0.6720257234726688,0.10364294052124023,3.495860329778248e-05,9282,None
13,meanMLP,BSNIP X FBIRN,0.7580298013245034,0.6720257234726688,0.1175682544708252,3.3633118657053856e-05,9282,None
14,meanMLP,BSNIP X FBIRN,0.7867135761589403,0.6913183279742765,0.14751958847045898,3.579115177657443e-05,9282,None
15,meanMLP,BSNIP X FBIRN,0.7575331125827814,0.6688102893890675,0.11627674102783205,3.2599715941205284e-05,9282,None
16,meanMLP,BSNIP X FBIRN,0.7671771523178808,0.6720257234726688,0.107313871383667,3.697557847982818e-05,9282,None
17,meanMLP,BSNIP X FBIRN,0.7904801324503311,0.6591639871382636,0.10054588317871094,3.411455553060943e-05,9282,None
18,meanMLP,BSNIP X FBIRN,0.7541390728476821,0.6527331189710611,0.1054842472076416,3.374121196783624e-05,9282,None
19,meanMLP,BSNIP X FBIRN,0.7532698675496688,0.6752411575562701,0.09649872779846191,3.6030336974901405e-05,9282,None
20,meanMLP,BSNIP X FBIRN,0.7824917218543046,0.7009646302250804,0.09790492057800292,3.687131826517283e-05,9282,None
21,meanMLP,BSNIP X FBIRN,0.8127069536423841,0.6591639871382636,0.11084413528442384,3.448406599725558e-05,9282,None
22,meanMLP,BSNIP X FBIRN,0.8094370860927151,0.7427652733118971,0.10396361351013184,3.68575191191155e-05,9282,None
23,meanMLP,BSNIP X FBIRN,0.8031870860927153,0.7234726688102894,0.10689711570739746,3.5803417684180946e-05,9282,None
24,meanMLP,BSNIP X FBIRN,0.8300082781456953,0.707395498392283,0.10395956039428712,3.3510459580988747e-05,9282,None
25,meanMLP,BSNIP X FBIRN,0.814817880794702,0.7041800643086816,0.10003924369812012,3.637454900710912e-05,9282,None
26,meanMLP,BSNIP X FBIRN,0.7930877483443709,0.7331189710610932,0.112046480178833,3.19956199915846e-05,9282,None
27,meanMLP,BSNIP X FBIRN,0.8153559602649006,0.7009646302250804,0.26445865631103516,3.3726646202553505e-05,9282,None
28,meanMLP,BSNIP X FBIRN,0.8122102649006624,0.7138263665594855,0.11259746551513672,3.5911510994963325e-05,9282,None
29,meanMLP,BSNIP X FBIRN,0.8065811258278145,0.6913183279742765,0.11300349235534668,3.625495640794564e-05,9282,None
30,meanMLP,BSNIP X FBIRN,0.7882450331125828,0.6945337620578779,0.12299656867980956,3.3957398589401e-05,9282,None
31,meanMLP,BSNIP X FBIRN,0.8002897350993377,0.7041800643086816,0.11569952964782716,3.4028694177363846e-05,9282,None
32,meanMLP,BSNIP X FBIRN,0.8070364238410597,0.7234726688102894,1.7288849353790283,3.495630344010626e-05,9282,None
33,meanMLP,BSNIP X FBIRN,0.7958195364238411,0.7041800643086816,0.107421875,3.326897452498556e-05,9282,None
34,meanMLP,BSNIP X FBIRN,0.7805877483443708,0.6977491961414791,0.10595989227294922,3.3256708617379044e-05,9282,None
35,meanMLP,BSNIP X FBIRN,0.7793046357615894,0.6881028938906752,0.10202717781066896,3.358635488430403e-05,9282,None
36,meanMLP,BSNIP X FBIRN,0.7948261589403972,0.6655948553054662,0.10251641273498537,3.428167852174814e-05,9282,None
37,meanMLP,BSNIP X FBIRN,0.7873344370860926,0.6655948553054662,0.11203932762145996,3.369981452966426e-05,9282,None
38,meanMLP,BSNIP X FBIRN,0.7987996688741722,0.6913183279742765,0.1077570915222168,3.353729125387799e-05,9282,None
39,meanMLP,BSNIP X FBIRN,0.7874586092715232,0.6784565916398714,0.11365556716918944,3.553816743219014e-05,9282,None
40,meanMLP,BSNIP X FBIRN,0.8182533112582782,0.7138263665594855,0.10868048667907716,3.48175453603076e-05,9282,None
41,meanMLP,BSNIP X FBIRN,0.8138245033112582,0.7427652733118971,0.098679780960083,3.2757639501639115e-05,9282,None
42,meanMLP,BSNIP X FBIRN,0.8061258278145695,0.6977491961414791,0.1090233325958252,3.481601212185679e-05,9282,None
