,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
21,meanMLP,HCP ICA,0.9495822529530396,0.8862275449101796,12.120261192321776,0.00019296771751906345,9282,None
22,meanMLP,HCP ICA,0.9544799769518872,0.8922155688622755,11.50253129005432,0.00019329750609255124,9282,None
23,meanMLP,HCP ICA,0.9495822529530394,0.8622754491017964,11.521650552749634,0.00020217467210963813,9282,None
24,meanMLP,HCP ICA,0.9256698357821952,0.8682634730538922,13.600213766098022,0.0001955831836083692,9282,None
25,meanMLP,HCP ICA,0.9383462978968596,0.8682634730538922,11.72467303276062,0.00019556176876593496,9282,None
26,meanMLP,HCP ICA,0.9243733794295592,0.8323353293413174,11.4312903881073,0.00019721356694569843,9282,None
27,meanMLP,HCP ICA,0.9530394698934024,0.8383233532934131,14.147243976593018,0.0002363970179757672,9282,None
28,meanMLP,HCP ICA,0.9540478248343416,0.8862275449101796,13.148866653442385,0.00019517487394595575,9282,None
29,meanMLP,HCP ICA,0.939066551426102,0.8802395209580839,12.214256286621094,0.00019907094761283095,9282,None
30,meanMLP,HCP ICA,0.8805361305361307,0.7771084337349398,16.011810779571533,0.0001942364566297416,9282,None
31,meanMLP,HCP ICA,0.8763111888111887,0.8072289156626506,15.082232475280762,0.00019673410668430557,9282,None
32,meanMLP,HCP ICA,0.8841783216783217,0.7831325301204819,16.37908625602722,0.00021089415952383752,9282,None
33,meanMLP,HCP ICA,0.8971445221445221,0.8493975903614458,13.813655376434326,0.00019502639770507812,9282,None
34,meanMLP,HCP ICA,0.8917540792540792,0.8192771084337349,22.158014059066772,0.00019855240741408015,9282,None
35,meanMLP,HCP ICA,0.8822843822843822,0.8012048192771084,13.154937028884888,0.00019542854952524943,9282,None
36,meanMLP,HCP ICA,0.8800990675990675,0.8132530120481928,14.666805267333984,0.0001962974847081196,9282,None
37,meanMLP,HCP ICA,0.8876748251748253,0.8132530120481928,20.240362882614136,0.00023425343524978825,9282,None
38,meanMLP,HCP ICA,0.8894230769230769,0.7891566265060241,12.66718077659607,0.00019839441919901283,9282,None
39,meanMLP,HCP ICA,0.8774766899766899,0.7831325301204819,20.737833499908447,0.0002124223364404885,9282,None
40,meanMLP,HCP ICA,0.909527972027972,0.8072289156626506,13.993740797042848,0.0002005646027714373,9282,None
41,meanMLP,HCP ICA,0.8926282051282052,0.8132530120481928,17.539429664611816,0.0001992992607943983,9282,None
42,meanMLP,HCP ICA,0.92263986013986,0.8313253012048193,9.781036138534546,0.0002121480114488717,9282,None
43,meanMLP,HCP ICA,0.8939393939393939,0.8132530120481928,10.232174634933472,0.00020100409726062456,9282,None
44,meanMLP,HCP ICA,0.9022435897435898,0.8433734939759037,24.254546403884888,0.00019635206245514284,9282,None
45,meanMLP,HCP ICA,0.9067599067599068,0.8313253012048193,13.32922911643982,0.00020041092332587183,9282,None
46,meanMLP,HCP ICA,0.8997668997668997,0.8253012048192772,12.703541994094849,0.0001988367862012013,9282,None
47,meanMLP,HCP ICA,0.9248251748251748,0.8373493975903614,16.702101469039917,0.00023615360260009768,9282,None
48,meanMLP,HCP ICA,0.8827214452214452,0.8192771084337349,11.901854038238524,0.00019760304186717577,9282,None
49,meanMLP,HCP ICA,0.8923368298368298,0.8253012048192772,13.684701681137083,0.000202153102461114,9282,None
0,meanMLP,HCP Schaefer 200 ROI,0.8997113997113998,0.8145695364238411,55.22468280792236,0.0009346324086978736,32802,None
1,meanMLP,HCP Schaefer 200 ROI,0.8915945165945165,0.8211920529801324,61.69379544258118,0.0009425902208745084,32802,None
2,meanMLP,HCP Schaefer 200 ROI,0.8832972582972584,0.8013245033112583,45.012197732925415,0.0009519280187341552,32802,None
3,meanMLP,HCP Schaefer 200 ROI,0.8917748917748918,0.8079470198675497,47.954320669174194,0.0009607826637116488,32802,None
4,meanMLP,HCP Schaefer 200 ROI,0.8856421356421357,0.7814569536423841,51.943132400512695,0.0009219472771448804,32802,None
5,meanMLP,HCP Schaefer 200 ROI,0.8861832611832613,0.8278145695364238,63.246293783187866,0.0009581490068246196,32802,None
6,meanMLP,HCP Schaefer 200 ROI,0.88510101010101,0.8278145695364238,64.46674990653992,0.0009737472660494166,32802,None
7,meanMLP,HCP Schaefer 200 ROI,0.8814935064935064,0.8145695364238411,48.76613402366638,0.0009450265113881092,32802,None
8,meanMLP,HCP Schaefer 200 ROI,0.8989898989898989,0.8211920529801324,41.49606537818909,0.0009345108310118416,32802,None
9,meanMLP,HCP Schaefer 200 ROI,0.8919552669552671,0.8145695364238411,53.53388357162475,0.0009400797206044986,32802,None
10,meanMLP,HCP Schaefer 200 ROI,0.8852813852813852,0.8145695364238411,73.02310991287231,0.0009496654106291714,32802,None
11,meanMLP,HCP Schaefer 200 ROI,0.8867243867243868,0.8013245033112583,76.55400371551514,0.000948020164540272,32802,None
12,meanMLP,HCP Schaefer 200 ROI,0.8878066378066378,0.7947019867549668,69.16668748855591,0.0009521648583822692,32802,None
13,meanMLP,HCP Schaefer 200 ROI,0.8901515151515151,0.8079470198675497,51.748565673828125,0.000801740103210045,32802,None
14,meanMLP,HCP Schaefer 200 ROI,0.8979076479076479,0.8145695364238411,120.1210160255432,0.0009496385688023852,32802,None
15,meanMLP,HCP Schaefer 200 ROI,0.8919552669552671,0.8145695364238411,44.503233432769775,0.0008173809935715025,32802,None
